trade_flow,period_date,year,month_number,month_name,hs_code,product_category,product_description,partner_country,record_type,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_value_column,source_file
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,RUSSIA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,SINGAPORE,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,SOMALIA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,SWITZERLAND,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,TANZANIA REP,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,THAILAND,PARTNER,0.11,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,U ARAB EMTS,PARTNER,0.14,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,U K,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,U S A,PARTNER,0.35,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,ZAMBIA,PARTNER,5.49,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,Total,TOTAL,8.57,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031031/71031031_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,AFGHANISTAN,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,CHINA P RP,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,CZECH REPUBLIC,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,DENMARK,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,DJIBOUTI,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,GERMANY,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,GUINEA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,HONG KONG,PARTNER,4.02,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,ITALY,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,KENYA,PARTNER,0.01,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,LEBANON,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,MADAGASCAR,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,MALAWI,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,MAURITIUS,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,MOROCCO,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,MOZAMBIQUE,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,NIGERIA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,SINGAPORE,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,TANZANIA REP,PARTNER,0.01,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,THAILAND,PARTNER,0.96,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,U ARAB EMTS,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,U K,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,U S A,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,ZAMBIA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,Total,TOTAL,4.99,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031041/71031041_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,AFGHANISTAN,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,AUSTRALIA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,CANADA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
