fact_id,date_key,hs_code,country_key,trade_flow_key,is_total,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_file
24208,202211,71039110,BAHARAIN IS,export,0,0.11,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24209,202211,71039110,BELGIUM,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24210,202211,71039110,BRAZIL,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24211,202211,71039110,BULGARIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24212,202211,71039110,CANADA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24213,202211,71039110,CHILE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24214,202211,71039110,CHINA P RP,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24215,202211,71039110,COLOMBIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24216,202211,71039110,CROATIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24217,202211,71039110,CYPRUS,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24218,202211,71039110,CZECH REPUBLIC,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24219,202211,71039110,DENMARK,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24220,202211,71039110,EL SALVADOR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24221,202211,71039110,ESTONIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24222,202211,71039110,FIJI IS,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24223,202211,71039110,FINLAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24224,202211,71039110,FRANCE,export,0,0.07,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24225,202211,71039110,GERMANY,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24226,202211,71039110,GREECE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24227,202211,71039110,GUATEMALA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24228,202211,71039110,HONG KONG,export,0,5.37,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24229,202211,71039110,INDONESIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24230,202211,71039110,ISRAEL,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24231,202211,71039110,ITALY,export,0,0.16,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24232,202211,71039110,JAPAN,export,0,0.08,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24233,202211,71039110,KOREA RP,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24234,202211,71039110,KUWAIT,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24235,202211,71039110,LEBANON,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24236,202211,71039110,LITHUANIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24237,202211,71039110,MACAO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24238,202211,71039110,MALAYSIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24239,202211,71039110,MAURITIUS,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24240,202211,71039110,MEXICO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24241,202211,71039110,MONTENEGRO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
